Title,Release Year,Genre,IMDb Rating,Streaming Services,URL,Type
Our Flag Means Death,2022,"Action & Adventure, Comedy, History",7.9,Jio Cinema,http://example.com/show/1,TV Show
A Small Light,2023,"Drama, History",8.7,Hotstar,http://example.com/show/1,TV Show
I'm a Virgo,2023,"Comedy, Drama, Fantasy",7.4,Amazon Prime Video,http://example.com/show/1,TV Show
The Gilded Age,2022,Drama,8.0,Jio Cinema,http://example.com/show/1,TV Show
Scavengers Reign,2023,"Animation, Drama, Science-Fiction",8.7,Jio Cinema,http://example.com/show/1,TV Show
Hijack,2023,"Drama, Mystery & Thriller",7.5,Apple TV Plus,http://example.com/show/1,TV Show
The Night Agent,2023,"Action & Adventure, Drama, Mystery & Thriller",7.6,Netflix,http://example.com/show/1,TV Show
Queen Charlotte: A Bridgerton Story,2023,"Drama, History, Romance",7.4,Netflix,http://example.com/show/1,TV Show
Farzi,2023,"Crime, Drama, Mystery & Thriller",8.4,Amazon Prime Video,http://example.com/show/1,TV Show
Dahaad,2023,"Crime, Drama, Mystery & Thriller",7.7,Amazon Prime Video,http://example.com/show/1,TV Show
Guns & Gulaabs,2023,"Action & Adventure, Comedy, Crime",7.7,Netflix,http://example.com/show/1,TV Show
The Railway Men,2023,"Drama, History",8.0,Netflix,http://example.com/show/1,TV Show
Kaala Paani,2023,"Drama, Mystery & Thriller",7.9,Netflix,http://example.com/show/1,TV Show
Scam 2003: The Telgi Story,2023,"Crime, Drama",8.1,Sony Liv,http://example.com/show/1,TV Show
Taaza Khabar,2023,"Comedy, Drama, Fantasy",8.1,Hotstar,http://example.com/show/1,TV Show
Jubilee,2023,"Drama, History",8.4,Amazon Prime Video,http://example.com/show/1,TV Show
Happy Family Conditions Apply,2023,"Comedy, Drama",8.4,Amazon Prime Video,http://example.com/show/1,TV Show
Kohrra,2023,"Crime, Drama, Mystery & Thriller",7.9,"Jio Cinema, Voot",http://example.com/show/1,TV Show
Rocket Boys,2022,"Drama, History",8.9,Sony Liv,http://example.com/show/1,TV Show
